Experiment, Repeat, Partition Start, Partition End, Bond Energies, Energy, Product Strategy, Reactant Strategy, Number of cycles, Length of longest cycle, Count of most common cycle
strategies-10,2,19750,20000,-1,+1,+1,-1,2,4,2
strategies-11,0,4750,5000,+1,-1,+1,-1,1,3,2
strategies-11,0,9750,10000,+1,-1,+1,-1,0,0,0
strategies-11,0,14750,15000,+1,-1,+1,-1,0,0,0
strategies-11,0,19750,20000,+1,-1,+1,-1,0,0,0
strategies-11,1,4750,5000,+1,-1,+1,-1,0,0,0
strategies-11,1,9750,10000,+1,-1,+1,-1,1,4,2
strategies-11,1,14750,15000,+1,-1,+1,-1,1,3,2
strategies-11,1,19750,20000,+1,-1,+1,-1,0,0,0
strategies-11,2,4750,5000,+1,-1,+1,-1,0,0,0
strategies-11,2,9750,10000,+1,-1,+1,-1,1,3,2
strategies-11,2,14750,15000,+1,-1,+1,-1,1,3,3
strategies-11,2,19750,20000,+1,-1,+1,-1,0,0,0
strategies-12,0,4750,5000,+1,+1,+1,-1,0,0,0
strategies-12,0,9750,10000,+1,+1,+1,-1,0,0,0
strategies-12,0,14750,15000,+1,+1,+1,-1,1,3,2
strategies-12,0,19750,20000,+1,+1,+1,-1,2,3,2
strategies-12,1,4750,5000,+1,+1,+1,-1,0,0,0
strategies-12,1,9750,10000,+1,+1,+1,-1,0,0,0
strategies-12,1,14750,15000,+1,+1,+1,-1,0,0,0
strategies-12,1,19750,20000,+1,+1,+1,-1,1,3,2
strategies-12,2,4750,5000,+1,+1,+1,-1,1,3,2
strategies-12,2,9750,10000,+1,+1,+1,-1,0,0,0
strategies-12,2,14750,15000,+1,+1,+1,-1,0,0,0
strategies-12,2,19750,20000,+1,+1,+1,-1,0,0,0
strategies-13,0,4750,5000,-1,-1,+1,+1,23,4,14
strategies-13,0,9750,10000,-1,-1,+1,+1,511,9,88
strategies-13,0,14750,15000,-1,-1,+1,+1,80,10,7
strategies-13,0,19750,20000,-1,-1,+1,+1,15,5,12
strategies-13,1,4750,5000,-1,-1,+1,+1,195,13,110
strategies-13,1,9750,10000,-1,-1,+1,+1,93,11,40
strategies-13,1,14750,15000,-1,-1,+1,+1,99,8,240
strategies-13,1,19750,20000,-1,-1,+1,+1,134,9,26
strategies-13,2,4750,5000,-1,-1,+1,+1,16,7,6
strategies-13,2,9750,10000,-1,-1,+1,+1,10,4,9
strategies-13,2,14750,15000,-1,-1,+1,+1,49,10,14
strategies-13,2,19750,20000,-1,-1,+1,+1,13,6,11
strategies-14,0,4750,5000,-1,+1,+1,+1,121,10,20
strategies-14,0,9750,10000,-1,+1,+1,+1,76,8,18
strategies-14,0,14750,15000,-1,+1,+1,+1,21,5,16
strategies-14,0,19750,20000,-1,+1,+1,+1,18,5,18
strategies-14,1,4750,5000,-1,+1,+1,+1,103,12,113
strategies-14,1,9750,10000,-1,+1,+1,+1,39,10,14
strategies-14,1,14750,15000,-1,+1,+1,+1,36,8,8
strategies-14,1,19750,20000,-1,+1,+1,+1,23,6,6
strategies-14,2,4750,5000,-1,+1,+1,+1,2192,16,2728
strategies-14,2,9750,10000,-1,+1,+1,+1,177,13,64
strategies-14,2,14750,15000,-1,+1,+1,+1,78,11,37
strategies-14,2,19750,20000,-1,+1,+1,+1,51,9,12
strategies-15,0,4750,5000,+1,-1,+1,+1,5704,20,48
strategies-15,0,9750,10000,+1,-1,+1,+1,364,11,20
strategies-15,0,14750,15000,+1,-1,+1,+1,28,6,48
strategies-15,0,19750,20000,+1,-1,+1,+1,199,12,33
strategies-15,1,4750,5000,+1,-1,+1,+1,122,7,599
strategies-15,1,9750,10000,+1,-1,+1,+1,158,9,6684
strategies-15,1,14750,15000,+1,-1,+1,+1,237,12,43
strategies-15,1,19750,20000,+1,-1,+1,+1,60,10,13
strategies-15,2,4750,5000,+1,-1,+1,+1,13445,17,27
strategies-15,2,9750,10000,+1,-1,+1,+1,526,11,26
strategies-15,2,14750,15000,+1,-1,+1,+1,18,9,862
strategies-15,2,19750,20000,+1,-1,+1,+1,35,8,12
strategies-16,0,4750,5000,+1,+1,+1,+1,128,9,54
strategies-16,0,9750,10000,+1,+1,+1,+1,67,9,16
strategies-16,0,14750,15000,+1,+1,+1,+1,49,7,12
strategies-16,0,19750,20000,+1,+1,+1,+1,20,5,14
strategies-16,1,4750,5000,+1,+1,+1,+1,25,7,11
strategies-16,1,9750,10000,+1,+1,+1,+1,46,8,15
strategies-16,1,14750,15000,+1,+1,+1,+1,26,7,4
strategies-16,1,19750,20000,+1,+1,+1,+1,21,6,12
strategies-16,2,4750,5000,+1,+1,+1,+1,617,13,218041
strategies-16,2,9750,10000,+1,+1,+1,+1,27,8,18
strategies-16,2,14750,15000,+1,+1,+1,+1,12,5,16
strategies-16,2,19750,20000,+1,+1,+1,+1,8,4,23
